TR_S04_PTO_STO(100)_750c_200mT_1000sh_3hz_XRR_04072026	
2θ, °	Intensity, cps
3.11199998855591	59.655143737793
3.1159999370575	46.7282447814941
3.11999988555908	54.9134941101074
3.12400007247925	70.5932769775391
3.12800002098083	45.1369209289551
3.13199996948242	46.4163436889648
3.13599991798401	49.7623596191406
3.14000010490417	45.1150779724121
3.14400005340576	42.0402336120605
3.14800000190735	51.7242813110352
3.15199995040894	40.5362663269043
3.15599989891052	41.4221878051758
3.16000008583069	48.4882392883301
3.16400003433228	38.0966415405273
3.16799998283386	50.2009048461914
3.17199993133545	43.7734336853027
3.17600011825562	45.2048759460449
3.1800000667572	50.0019950866699
3.18400001525879	39.950080871582
3.18799996376038	38.3106575012207
3.19199991226196	44.8263816833496
3.19600009918213	30.2056636810303
3.20000004768372	40.173942565918
3.2039999961853	53.5782890319824
3.20799994468689	55.0428314208984
3.21199989318848	41.9081802368164
3.21600008010864	62.1438217163086
3.22000002861023	36.899959564209
3.22399997711182	20.1261577606201
3.2279999256134	24.9834537506104
3.23200011253357	53.4866218566895
3.23600006103516	55.4525299072266
3.24000000953674	35.0924453735352
3.24399995803833	43.0478935241699
3.24799990653992	40.1308975219727
3.25200009346008	33.1757736206055
3.25600004196167	48.4258308410645
3.25999999046326	33.2118110656738
3.26399993896484	40.4778366088867
3.26799988746643	55.8695793151855
3.2720000743866	43.6454696655273
3.27600002288818	43.1444511413574
3.27999997138977	41.705623626709
3.28399991989136	33.0425186157227
3.28800010681152	46.8349227905273
3.29200005531311	38.3706321716309
3.2960000038147	46.4896354675293
3.29999995231628	43.3491516113281
3.30399990081787	39.8742561340332
3.30800008773804	26.7457828521729
3.31200003623962	28.3801116943359
3.31599998474121	33.6197662353516
3.3199999332428	35.2668952941895
3.32399988174438	33.6744079589844
3.32800006866455	28.4167671203613
3.33200001716614	31.9167423248291
3.33599996566772	35.7166481018066
3.33999991416931	43.3904762268066
3.34400010108948	38.2877197265625
3.34800004959106	46.8815307617188
3.35199999809265	33.6132316589355
3.35599994659424	50.4091033935547
3.35999989509583	31.792797088623
3.36400008201599	32.0089645385742
3.36800003051758	23.4216384887695
3.37199997901917	31.8759346008301
3.37599992752075	23.2794570922852
3.38000011444092	36.9963417053223
3.3840000629425	21.9586315155029
3.38800001144409	19.9161720275879
3.39199995994568	20.2023677825928
3.39599990844727	19.6925640106201
3.40000009536743	30.0541744232178
3.40400004386902	41.9121704101563
3.40799999237061	41.9968681335449
3.41199994087219	31.8935527801514
3.41599988937378	25.1355285644531
3.42000007629395	38.4779739379883
3.42400002479553	31.8101558685303
3.42799997329712	30.1127967834473
3.43199992179871	31.8850078582764
3.43600010871887	34.9518699645996
3.44000005722046	41.6614189147949
3.44400000572205	28.2664165496826
3.44799995422363	37.0858993530273
3.45199990272522	20.1550159454346
3.45600008964539	29.6620750427246
3.46000003814697	33.2078247070313
3.46399998664856	29.9674701690674
3.46799993515015	33.5708618164063
3.47199988365173	25.2776069641113
3.4760000705719	31.8994464874268
3.48000001907349	19.8792762756348
3.48399996757507	30.3497734069824
3.48799991607666	33.6133880615234
3.49200010299683	40.2265472412109
3.49600005149841	30.2138843536377
3.5	35.0927810668945
3.50399994850159	19.8631801605225
3.50799989700317	21.6135406494141
3.51200008392334	28.3079662322998
3.51600003242493	23.2988929748535
3.51999998092651	14.9653549194336
3.5239999294281	18.2967052459717
3.52800011634827	25.1020488739014
3.53200006484985	32.2154006958008
3.53600001335144	26.7258129119873
3.53999996185303	28.3489170074463
3.54399991035461	16.8034229278564
3.54800009727478	26.5555362701416
3.55200004577637	29.968677520752
3.55599999427795	15.2132349014282
3.55999994277954	28.2996139526367
3.56399989128113	20.080020904541
3.56800007820129	26.5720310211182
3.57200002670288	21.4772834777832
3.57599997520447	28.2400608062744
3.57999992370605	18.3986225128174
3.58400011062622	11.7910041809082
3.58800005912781	16.7094955444336
3.59200000762939	26.7203102111816
3.59599995613098	16.541145324707
3.59999990463257	21.6916255950928
3.60400009155273	28.4206829071045
3.60800004005432	26.4994640350342
3.61199998855591	23.4772911071777
3.6159999370575	19.8136501312256
