TR_S05_PTO_STO(100)_600c_200mT_1000sh_2hz_film RC_04092026	
2θ, °	Intensity, cps
19.7399997711182	0
19.7450008392334	0
19.75	0
19.7549991607666	0
19.7600002288818	13.599684715271
19.7649993896484	0
19.7700004577637	0
19.7749996185303	0
19.7800006866455	0
19.7849998474121	0
19.7900009155273	0
19.7950000762939	13.5252523422241
19.7999992370605	0
19.8050003051758	0
19.8099994659424	0
19.8150005340576	13.7061567306519
19.8199996948242	14.3419761657715
19.8250007629395	0
19.8299999237061	13.9192991256714
19.8349990844727	0
19.8400001525879	0
19.8449993133545	0
19.8500003814697	0
19.8549995422363	13.5696029663086
19.8600006103516	26.6378650665283
19.8649997711182	13.5631923675537
19.8700008392334	0
19.875	0
19.8799991607666	0
19.8850002288818	0
19.8899993896484	13.7504644393921
19.8950004577637	0
19.8999996185303	14.3611936569214
19.9050006866455	14.1369981765747
19.9099998474121	0
19.9150009155273	13.7794284820557
19.9200000762939	13.7888879776001
19.9249992370605	0
19.9300003051758	13.5357971191406
19.9349994659424	0
19.9400005340576	0
19.9449996948242	0
19.9500007629395	0
19.9549999237061	0
19.9599990844727	14.2857456207275
19.9650001525879	0
19.9699993133545	14.2704944610596
19.9750003814697	13.9138488769531
19.9799995422363	13.3896970748901
19.9850006103516	0
19.9899997711182	0
19.9950008392334	0
20	0
20.0049991607666	14.6584768295288
20.0100002288818	0
20.0149993896484	0
20.0200004577637	4.54037809371948
20.0249996185303	0
20.0300006866455	0
20.0349998474121	0
20.0400009155273	14.1243190765381
20.0450000762939	0
20.0499992370605	0
20.0550003051758	0
20.0599994659424	0
20.0650005340576	0
20.0699996948242	13.8396625518799
20.0750007629395	0
20.0799999237061	0
20.0849990844727	0
20.0900001525879	27.6284122467041
20.0949993133545	13.359673500061
20.1000003814697	14.51828956604
20.1049995422363	0
20.1100006103516	13.6651496887207
20.1149997711182	0
20.1200008392334	4.56443452835083
20.125	14.1085786819458
20.1299991607666	28.4077396392822
20.1350002288818	14.1806316375732
20.1399993896484	0
20.1450004577637	0
20.1499996185303	0
20.1550006866455	0
20.1599998474121	0
20.1650009155273	0
20.1700000762939	0
20.1749992370605	0
20.1800003051758	0
20.1849994659424	13.61696434021
20.1900005340576	14.0873670578003
20.1949996948242	14.0678262710571
20.2000007629395	14.0071039199829
20.2049999237061	13.8400745391846
20.2099990844727	14.1609210968018
20.2150001525879	0
20.2199993133545	0
20.2250003814697	0
20.2299995422363	0
20.2350006103516	0
20.2399997711182	14.1041250228882
20.2450008392334	4.60109758377075
20.25	0
20.2549991607666	0
20.2600002288818	0
20.2649993896484	0
20.2700004577637	0
20.2749996185303	0
20.2800006866455	0
20.2849998474121	14.0962314605713
20.2900009155273	13.8963298797607
20.2950000762939	0
20.2999992370605	0
20.3050003051758	0
20.3099994659424	14.5624618530273
20.3150005340576	13.5163717269897
20.3199996948242	13.6308841705322
20.3250007629395	0
20.3299999237061	13.7775726318359
20.3349990844727	0
20.3400001525879	0
20.3449993133545	28.8693561553955
20.3500003814697	14.6313810348511
20.3549995422363	27.6952037811279
20.3600006103516	28.2875881195068
20.3649997711182	0
20.3700008392334	0
20.375	0
20.3799991607666	0
20.3850002288818	0
20.3899993896484	0
20.3950004577637	18.7251892089844
20.3999996185303	13.8287830352783
20.4050006866455	13.7888879776001
20.4099998474121	0
20.4150009155273	0
20.4200000762939	0
20.4249992370605	0
20.4300003051758	14.0997476577759
20.4349994659424	41.3402786254883
20.4400005340576	13.5943841934204
20.4449996948242	0
20.4500007629395	14.1619663238525
20.4549999237061	0
20.4599990844727	0
20.4650001525879	0
20.4699993133545	0
20.4750003814697	0
20.4799995422363	0
20.4850006103516	0
20.4899997711182	0
20.4950008392334	13.6198043823242
20.5	0
20.5049991607666	14.1389942169189
20.5100002288818	0
20.5149993896484	0
20.5200004577637	13.5543174743652
20.5249996185303	0
20.5300006866455	0
20.5349998474121	13.902904510498
20.5400009155273	0
20.5450000762939	14.0331411361694
20.5499992370605	0
20.5550003051758	0
20.5599994659424	0
20.5650005340576	0
20.5699996948242	0
20.5750007629395	13.711368560791
20.5799999237061	18.2501621246338
20.5849990844727	14.011890411377
20.5900001525879	28.1073513031006
20.5949993133545	14.4069528579712
20.6000003814697	0
20.6049995422363	13.7749147415161
20.6100006103516	0
20.6149997711182	14.0852146148682
20.6200008392334	14.2182855606079
20.625	13.9353580474854
20.6299991607666	27.686466217041
20.6350002288818	14.9884347915649
20.6399993896484	4.70781421661377
20.6450004577637	0
20.6499996185303	28.75
20.6550006866455	0
20.6599998474121	0
20.6650009155273	0
20.6700000762939	13.1811094284058
20.6749992370605	4.7031307220459
20.6800003051758	0
20.6849994659424	13.4824247360229
20.6900005340576	0
20.6949996948242	0
20.7000007629395	0
20.7049999237061	27.9704246520996
20.7099990844727	0
20.7150001525879	13.9771337509155
20.7199993133545	0
20.7250003814697	42.6988906860352
20.7299995422363	0
20.7350006103516	0
20.7399997711182	0
20.7450008392334	0
20.75	0
20.7549991607666	13.3163356781006
20.7600002288818	0
20.7649993896484	4.48699712753296
20.7700004577637	18.7778377532959
20.7749996185303	14.6584768295288
20.7800006866455	0
20.7849998474121	14.2072219848633
20.7900009155273	13.5316495895386
20.7950000762939	0
20.7999992370605	0
20.8050003051758	0
20.8099994659424	27.8524875640869
20.8150005340576	27.4132595062256
