TR_S07_PTO_STO(100)_600c_variable pressure_2000sh_3hz_2theta omega_04102026{1}	
2θ, °	Intensity, cps
15.4703998565674	0
15.4751996994019	4.76261425018311
15.4799995422363	0
15.4848003387451	0
15.4896001815796	15.4058685302734
15.4944000244141	0
15.4991998672485	0
15.503999710083	0
15.5087995529175	0
15.5136003494263	0
15.5184001922607	0
15.5232000350952	0
15.5279998779297	0
15.5327997207642	15.4058685302734
15.5375995635986	0
15.5424003601074	0
15.5472002029419	0
15.5520000457764	0
15.5567998886108	0
15.5615997314453	0
15.5663995742798	0
15.5712003707886	0
15.576000213623	14.2106895446777
15.5808000564575	14.4498443603516
15.585599899292	0
15.5903997421265	0
15.5951995849609	14.2881107330322
15.6000003814697	0
15.6048002243042	0
15.6096000671387	0
15.6143999099731	0
15.6191997528076	0
15.6239995956421	14.2223587036133
15.6288003921509	0
15.6336002349854	14.327278137207
15.6384000778198	0
15.6431999206543	0
15.6479997634888	14.7872371673584
15.6527996063232	0
15.657600402832	0
15.6624002456665	14.2157506942749
15.667200088501	0
15.6719999313354	0
15.6767997741699	0
15.6815996170044	14.2157506942749
15.6864004135132	30.106725692749
15.6912002563477	15.5768098831177
15.6960000991821	0
15.7007999420166	45.1196174621582
15.7055997848511	0
15.7103996276855	0
15.7152004241943	0
15.7200002670288	0
15.7248001098633	14.1806764602661
15.7295999526978	0
15.7343997955322	0
15.7391996383667	0
15.7440004348755	0
15.74880027771	4.52683925628662
15.7536001205444	28.7407264709473
15.7583999633789	15.646674156189
15.7631998062134	14.3191909790039
15.7679996490479	0
15.7728004455566	0
15.7776002883911	0
15.7824001312256	0
15.7871999740601	0
15.7919998168945	0
15.796799659729	0
15.8016004562378	0
15.8064002990723	0
15.8112001419067	0
15.8159999847412	0
15.8207998275757	14.785548210144
15.8255996704102	0
15.8304004669189	14.0023164749146
15.8352003097534	0
15.8400001525879	0
15.8447999954224	14.9515504837036
15.8495998382568	0
15.8543996810913	0
15.8591995239258	0
15.8640003204346	0
15.868800163269	0
15.8736000061035	4.74969816207886
15.878399848938	14.3678770065308
15.8831996917725	0
15.8879995346069	14.9982538223267
15.8928003311157	30.3107738494873
15.8976001739502	0
15.9024000167847	0
15.9071998596191	14.6093683242798
15.9119997024536	0
15.9167995452881	14.7884225845337
15.9216003417969	15.2509279251099
15.9264001846313	0
15.9312000274658	0
15.9359998703003	0
15.9407997131348	0
15.9455995559692	0
15.950400352478	0
15.9552001953125	4.61516094207764
15.960000038147	4.81398105621338
15.9647998809814	0
15.9695997238159	14.3261585235596
15.9743995666504	0
15.9792003631592	0
15.9840002059937	0
15.9888000488281	0
15.9935998916626	14.3505563735962
15.9983997344971	43.3690567016602
16.0032005310059	14.8272943496704
16.007999420166	0
16.0128002166748	14.1862497329712
16.017599105835	29.7382564544678
16.0223999023438	14.4342184066772
16.0272006988525	0
16.0319995880127	14.5234718322754
16.0368003845215	0
16.0415992736816	0
16.0464000701904	0
16.0512008666992	0
16.0559997558594	15.8596935272217
16.0608005523682	0
16.0655994415283	29.1154117584229
16.0704002380371	0
16.0751991271973	0
16.0799999237061	14.1911602020264
16.0848007202148	0
16.089599609375	0
16.0944004058838	0
16.0991992950439	0
16.1040000915527	0
16.1088008880615	0
16.1135997772217	0
16.1184005737305	0
16.1231994628906	14.2129011154175
16.1280002593994	15.0944128036499
16.1327991485596	0
16.1375999450684	0
16.1424007415771	0
16.1471996307373	0
16.1520004272461	29.4730491638184
16.1567993164063	14.4727659225464
16.161600112915	0
16.1664009094238	0
16.171199798584	0
16.1760005950928	0
16.1807994842529	0
16.1856002807617	15.0619449615479
16.1903991699219	0
16.1951999664307	14.8241786956787
16.2000007629395	14.313868522644
16.2047996520996	0
16.2096004486084	14.3847665786743
16.2143993377686	0
16.2192001342773	0
16.2240009307861	18.8114776611328
16.2287998199463	0
16.2336006164551	0
16.2383995056152	14.6971960067749
16.243200302124	0
16.2479991912842	0
16.252799987793	0
16.2576007843018	0
16.2623996734619	0
16.2672004699707	0
16.2719993591309	14.2669048309326
16.2768001556396	15.0050535202026
16.2816009521484	0
16.2863998413086	0
16.2912006378174	0
16.2959995269775	4.82538890838623
16.3008003234863	0
16.3055992126465	0
16.3104000091553	0
16.3152008056641	14.440637588501
16.3199996948242	0
16.324800491333	0
16.3295993804932	14.4883193969727
16.334400177002	0
16.3391990661621	0
16.3439998626709	0
16.3488006591797	0
16.3535995483398	0
