TR_S06_PTO_LAO(100)_600c_200mT_1000sh_2hz_XRR_04082026	
2θ, °	Intensity, cps
1.63999998569489	72.8498992919922
1.64400005340576	69.1231918334961
1.64800000190735	56.5772361755371
1.65199995040894	66.4343872070313
1.65600001811981	98.1664047241211
1.6599999666214	53.9206008911133
1.66400003433228	40.4797134399414
1.66799998283386	47.289794921875
1.67200005054474	66.5997695922852
1.67599999904633	43.8920631408691
1.67999994754791	43.3466949462891
1.68400001525879	49.5512161254883
1.68799996376038	56.6294555664063
1.69200003147125	54.0775718688965
1.69599997997284	37.6875762939453
1.70000004768372	47.4304161071777
1.7039999961853	34.7000465393066
1.70799994468689	31.8557357788086
1.71200001239777	28.5476093292236
1.71599996089935	53.6783103942871
1.72000002861023	47.1889533996582
1.72399997711182	46.9973373413086
1.72800004482269	44.0923233032227
1.73199999332428	44.2435340881348
1.73599994182587	18.6025543212891
1.74000000953674	69.0271987915039
1.74399995803833	47.1258659362793
1.74800002574921	47.4267425537109
1.75199997425079	28.4420757293701
1.75600004196167	41.2233200073242
1.75999999046326	37.5938415527344
1.76400005817413	40.696475982666
1.76800000667572	46.6210823059082
1.77199995517731	22.3139572143555
1.77600002288818	53.4550590515137
1.77999997138977	34.6164932250977
1.78400003910065	25.0506153106689
1.78799998760223	38.1225776672363
1.79200005531311	68.4255523681641
1.7960000038147	44.5474319458008
1.79999995231628	18.8652191162109
1.80400002002716	37.6157455444336
1.80799996852875	15.5274229049683
1.81200003623962	43.9877510070801
1.81599998474121	18.8736591339111
1.82000005245209	25.5431137084961
1.82400000095367	25.0102348327637
1.82799994945526	37.7721557617188
1.83200001716614	12.6966495513916
1.83599996566772	28.0822868347168
1.8400000333786	43.6017379760742
1.84399998188019	31.3355598449707
1.84800004959106	12.3377990722656
1.85199999809265	21.9495887756348
1.85599994659424	12.1997985839844
1.86000001430511	15.6267986297607
1.8639999628067	22.0806560516357
1.86800003051758	25.1747512817383
1.87199997901917	40.7043991088867
1.87600004673004	12.716968536377
1.87999999523163	15.7109661102295
1.88399994373322	22.2883491516113
1.88800001144409	18.6511154174805
1.89199995994568	9.47534275054932
1.89600002765656	25.1219635009766
1.89999997615814	6.47360849380493
1.90400004386902	25.1514739990234
1.90799999237061	22.0634155273438
1.91199994087219	31.112232208252
1.91600000858307	3.11201596260071
1.91999995708466	18.6991691589355
1.92400002479553	9.17576122283936
1.92799997329712	44.5760765075684
1.932000041008	28.5724601745605
1.93599998950958	12.386176109314
1.94000005722046	6.50433683395386
