TR_S10_PTO_STO(100)_500c_150mT_20000sh_5hz_2theta omega_04162026{1}	
2θ, °	Intensity, cps
15.4703998565674	28.6002330780029
15.4751996994019	19.6359882354736
15.4799995422363	29.6442775726318
15.4848003387451	14.6466474533081
15.4896001815796	0
15.4944000244141	0
15.4991998672485	14.5305862426758
15.503999710083	0
15.5087995529175	0
15.5136003494263	14.7174062728882
15.5184001922607	0
15.5232000350952	0
15.5279998779297	14.4883193969727
15.5327997207642	0
15.5375995635986	0
15.5424003601074	0
15.5472002029419	0
15.5520000457764	29.3398361206055
15.5567998886108	29.1374683380127
15.5615997314453	13.8408937454224
15.5663995742798	0
15.5712003707886	14.0745258331299
15.576000213623	19.301685333252
15.5808000564575	15.0543270111084
15.585599899292	13.9250164031982
15.5903997421265	0
15.5951995849609	0
15.6000003814697	0
15.6048002243042	29.0845012664795
15.6096000671387	15.0603103637695
15.6143999099731	4.80215978622437
15.6191997528076	0
15.6239995956421	14.1831226348877
15.6288003921509	0
15.6336002349854	0
15.6384000778198	15.1558828353882
15.6431999206543	0
15.6479997634888	0
15.6527996063232	0
15.657600402832	0
15.6624002456665	0
15.667200088501	0
15.6719999313354	0
15.6767997741699	0
15.6815996170044	0
15.6864004135132	0
15.6912002563477	0
15.6960000991821	14.2160291671753
15.7007999420166	42.487117767334
15.7055997848511	0
15.7103996276855	0
15.7152004241943	14.0360956192017
15.7200002670288	0
15.7248001098633	0
15.7295999526978	15.068097114563
15.7343997955322	0
15.7391996383667	0
15.7440004348755	0
15.74880027771	14.5138597488403
15.7536001205444	15.0494728088379
15.7583999633789	0
15.7631998062134	14.6317825317383
15.7679996490479	14.0696086883545
15.7728004455566	29.4011402130127
15.7776002883911	0
15.7824001312256	0
15.7871999740601	0
15.7919998168945	0
15.796799659729	14.0442819595337
15.8016004562378	0
15.8064002990723	0
15.8112001419067	19.4269313812256
15.8159999847412	0
15.8207998275757	0
15.8255996704102	13.9759559631348
15.8304004669189	0
15.8352003097534	0
15.8400001525879	14.4498128890991
15.8447999954224	4.87790775299072
15.8495998382568	0
15.8543996810913	0
15.8591995239258	0
15.8640003204346	0
15.868800163269	0
15.8736000061035	15.0038928985596
15.878399848938	14.6129922866821
15.8831996917725	19.2512302398682
15.8879995346069	13.996000289917
15.8928003311157	0
15.8976001739502	43.412353515625
15.9024000167847	0
15.9071998596191	4.76585388183594
15.9119997024536	0
15.9167995452881	0
15.9216003417969	0
15.9264001846313	0
15.9312000274658	14.5996026992798
15.9359998703003	0
15.9407997131348	0
15.9455995559692	0
15.950400352478	0
15.9552001953125	14.1969356536865
15.960000038147	14.622200012207
15.9647998809814	0
15.9695997238159	0
15.9743995666504	14.0745258331299
15.9792003631592	0
15.9840002059937	0
15.9888000488281	14.8233375549316
15.9935998916626	0
15.9983997344971	0
16.0032005310059	0
16.007999420166	4.65982532501221
16.0128002166748	0
16.017599105835	0
16.0223999023438	0
16.0272006988525	19.2308883666992
16.0319995880127	0
16.0368003845215	0
16.0415992736816	14.3663949966431
16.0464000701904	14.4626245498657
16.0512008666992	0
16.0559997558594	14.4360942840576
16.0608005523682	0
16.0655994415283	0
16.0704002380371	14.0144643783569
16.0751991271973	13.9627027511597
16.0799999237061	0
16.0848007202148	18.4311428070068
16.089599609375	0
16.0944004058838	15.2938165664673
16.0991992950439	0
16.1040000915527	0
16.1088008880615	28.9520492553711
16.1135997772217	0
16.1184005737305	0
16.1231994628906	0
16.1280002593994	0
16.1327991485596	0
16.1375999450684	4.64921474456787
16.1424007415771	13.9435930252075
16.1471996307373	0
16.1520004272461	0
16.1567993164063	14.1072177886963
16.161600112915	14.7703771591187
16.1664009094238	28.595043182373
16.171199798584	0
16.1760005950928	14.9828939437866
16.1807994842529	14.7284173965454
16.1856002807617	18.8341884613037
16.1903991699219	14.7065715789795
16.1951999664307	19.4387378692627
16.2000007629395	4.71808290481567
16.2047996520996	14.6870994567871
16.2096004486084	44.295036315918
16.2143993377686	0
16.2192001342773	13.9288558959961
16.2240009307861	15.0619297027588
16.2287998199463	0
16.2336006164551	14.8662977218628
16.2383995056152	14.1776256561279
16.243200302124	0
16.2479991912842	33.9528656005859
16.252799987793	28.3905963897705
16.2576007843018	4.90967607498169
16.2623996734619	29.1946125030518
16.2672004699707	0
16.2719993591309	14.2020015716553
16.2768001556396	0
16.2816009521484	4.91873359680176
16.2863998413086	14.8176784515381
16.2912006378174	0
